Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
Compass ,12.33 Lakh,new delhi,Diesel,Manual,33359,2018,Jeep
Creta ,7.87 Lakh,new delhi,Petrol,Manual,74978,2016,Hyundai
Wagon R ,3.31 Lakh,new delhi,Petrol,Manual,65457,2016,Maruti
Marazzo ,9.77 Lakh,new delhi,Diesel,Manual,21211,2018,Mahindra
KWID ,4.23 Lakh,new delhi,Petrol,Manual,16876,2021,Renault
Alto 800 ,3.50 Lakh,new delhi,Petrol,Manual,10960,2020,Maruti
Swift ,4.13 Lakh,new delhi,Petrol,Manual,62644,2015,Maruti
Duster ,6.41 Lakh,new delhi,Diesel,Automatic,73656,2016,Renault
Scorpio ,10.38 Lakh,new delhi,Diesel,Manual,67436,2017,Mahindra
Alto K10 ,3.53 Lakh,new delhi,Petrol,Manual,65761,2018,Maruti
Alto 800 ,3.43 Lakh,new delhi,Petrol,Manual,27629,2020,Maruti
i20 ,5.41 Lakh,new delhi,Petrol,Manual,36633,2017,Hyundai
City ,6.48 Lakh,new delhi,Petrol,Manual,18474,2016,Honda
Thar ,8.11 Lakh,new delhi,Diesel,Manual,25881,2018,Mahindra
Innova Crysta ,19.25 Lakh,new delhi,Diesel,Automatic,76317,2020,Toyota
Baleno ,6.36 Lakh,new delhi,Petrol,Manual,30140,2018,Maruti
Harrier ,12.71 Lakh,new delhi,Diesel,Manual,96177,2019,Tata
Etios Liva ,5.15 Lakh,new delhi,Petrol,Manual,24250,2018,Toyota
Creta ,8.28 Lakh,new delhi,Diesel,Manual,75109,2017,Hyundai
Grand i10 ,3.68 Lakh,new delhi,Petrol,Manual,42815,2015,Hyundai
Alto K10 ,3.46 Lakh,new delhi,Petrol,Manual,49878,2018,Maruti
i20 ,3.30 Lakh,new delhi,Diesel,Manual,138178,2014,Hyundai
Ciaz ,7.83 Lakh,new delhi,Petrol,Manual,50746,2018,Maruti
City ,8.45 Lakh,new delhi,Petrol,Manual,27768,2018,Honda
Alto K10 ,2.05 Lakh,new delhi,Petrol,Manual,75007,2012,Maruti
Ciaz ,7.70 Lakh,new delhi,Petrol,Manual,38505,2019,Maruti
