,Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
2202,Celerio ,575000,new delhi,Petrol,Manual,8600,2020,Maruti
2203,5 Series ,2175000,new delhi,Diesel,Automatic,7400000,2015,BMW
2204,A6 ,2300000,new delhi,Diesel,Automatic,88000,2015,Audi
2205,Polo ,285000,new delhi,Petrol,Manual,54000,2012,Volkswagen
2207,Vitara Brezza ,740000,new delhi,Diesel,Manual,65000,2016,Maruti
2208,Grand i10 ,447000,new delhi,CNG,Manual,64000,2016,Hyundai
2209,Ecosport ,438000,new delhi,Diesel,Manual,90000,2015,Ford
2210,Grand i10 ,479000,new delhi,CNG,Manual,46000,2017,Hyundai
2211,Alcazar ,1985000,new delhi,Petrol,Manual,5500,2022,Hyundai
2212,Xcent ,585000,new delhi,Petrol,Manual,43238,2018,Hyundai
2213,Lodgy ,509999,new delhi,Diesel,Manual,16501,2015,Renault
2214,XF ,1525000,new delhi,Diesel,Automatic,40000,2014,Jaguar
2215,XUV500 ,695000,new delhi,Diesel,Manual,69501,2015,Mahindra
2216,City ,265000,new delhi,Petrol,Manual,81001,2009,Honda
2217,Rapid ,680000,new delhi,Petrol,Manual,29000,2017,Skoda
2218,City ,1275000,new delhi,Petrol,Manual,17000,2020,Honda
2219,KUV 100 ,395000,new delhi,Petrol,Manual,27001,2016,Mahindra
2220,XUV500 ,900000,new delhi,Diesel,Manual,65000,2015,Mahindra
2221,i20 ,295000,new delhi,Petrol,Manual,52000,2011,Hyundai
2222,Superb ,475000,new delhi,Petrol,Automatic,47799,2010,Skoda
2223,Kiger ,925000,new delhi,Petrol,Automatic,2700,2022,Renault
2224,Nexon ,1150000,new delhi,Diesel,Manual,15000,2020,Tata
2225,Swift Dzire ,425000,new delhi,Petrol,Manual,42000,2014,Maruti
2226,Ecosport ,850000,new delhi,Diesel,Manual,60000,2018,Ford
2227,City ,695000,new delhi,Petrol,Manual,68000,2015,Honda
2228,Compass ,1575000,new delhi,Petrol,Manual,20000,2020,Jeep
2229,Wagon R ,385000,new delhi,Petrol,Automatic,70000,2016,Maruti
2230,Venue ,890000,new delhi,Petrol,Manual,6100,2022,Hyundai
2231,i20 ,490000,new delhi,Petrol,Manual,50000,2014,Hyundai
2232,Ecosport ,520000,new delhi,Petrol,Manual,75000,2014,Ford
2233,Swift Dzire ,420000,new delhi,Petrol,Manual,69807,2015,Maruti
2234,City ,426000,new delhi,Petrol,Manual,35000,2011,Honda
2235,Harrier ,1848999,new delhi,Diesel,Manual,300,2020,Tata
2236,Baleno ,610000,new delhi,Petrol,Manual,44722,2018,Maruti
2237,SX4 S Cross ,645000,new delhi,Diesel,Manual,61117,2016,Maruti
2238,Captiva ,350000,new delhi,Diesel,Manual,90000,2010,Chevrolet
2239,Wagon R ,198000,new delhi,CNG,Manual,64000,2011,Maruti
2240,Innova ,785000,new delhi,Diesel,Manual,158000,2014,Toyota
2241,Swift Dzire ,445000,new delhi,Petrol,Manual,40001,2015,Maruti
2242,WR-V ,785000,new delhi,Diesel,Manual,69102,2018,Honda
2243,Grand i10 ,475000,new delhi,Petrol,Manual,60000,2017,Hyundai
2244,5 Series ,4175000,new delhi,Diesel,Automatic,20000,2017,BMW
2245,Corolla Altis ,775000,new delhi,Petrol,Manual,51000,2014,Toyota
2246,Venue ,875000,new delhi,Petrol,Automatic,48000,2019,Hyundai
2247,Innova Crysta ,1590000,new delhi,Diesel,Automatic,113000,2016,Toyota
2248,Quanto ,260000,new delhi,Diesel,Manual,73000,2012,Mahindra
2249,Swift Dzire ,620000,new delhi,Diesel,Manual,71000,2017,Maruti
2250,City ,225000,new delhi,Petrol,Manual,72000,2010,Honda
2251,5 Series ,5900000,new delhi,Petrol,Automatic,9500,2020,BMW
2252,Baleno ,670000,new delhi,Petrol,Manual,23256,2019,Maruti
2253,C-Class ,6500000,new delhi,Petrol,Automatic,8000,2019,Mercedes-Benz
2254,i10 ,229999,new delhi,Petrol,Manual,55000,2013,Hyundai
2255,Alto K10 ,175000,new delhi,Petrol,Manual,90000,2014,Maruti
2256,Yaris ,975000,new delhi,Petrol,Automatic,15000,2018,Toyota
2257,Baleno ,625000,new delhi,Petrol,Automatic,55000,2017,Maruti
2258,EON ,270000,new delhi,Petrol,Manual,55000,2016,Hyundai
2259,Creta ,850000,new delhi,Diesel,Manual,62000,2016,Hyundai
2260,City ,950000,new delhi,Petrol,Manual,47000,2019,Honda
2261,Ertiga ,600000,new delhi,Diesel,Manual,49000,2015,Maruti
2262,i20 ,325000,new delhi,Diesel,Manual,64000,2014,Hyundai
2263,Corolla Altis ,1195000,new delhi,Petrol,Manual,45000,2017,Toyota
2264,City ,125000,new delhi,Petrol,Manual,105000,2008,Honda
2265,Rapid ,565000,new delhi,Petrol,Manual,48000,2017,Skoda
2266,Q7 ,1650000,new delhi,Diesel,Automatic,70000,2012,Audi
2267,Vitara Brezza ,894999,new delhi,Diesel,Manual,27000,2019,Maruti
2268,City ,525000,new delhi,Petrol,Manual,56000,2014,Honda
2269,C-Class ,4700000,new delhi,Petrol,Automatic,18000,2020,Mercedes-Benz
2270,Innova Crysta ,1850000,new delhi,Diesel,Manual,28000,2019,Toyota
2271,New Safari ,280000,new delhi,Diesel,Manual,85000,2012,Tata
2272,C-Class ,2450000,new delhi,Diesel,Manual,32000,2018,Mercedes-Benz
2273,Vitara Brezza ,702000,new delhi,Diesel,Manual,85627,2018,Maruti
2274,Wagon R ,590000,new delhi,Petrol,Automatic,12000,2019,Maruti
2275,Baleno ,595000,new delhi,Petrol,Manual,50000,2017,Maruti
2276,i20 ,775000,new delhi,Petrol,Manual,45000,2020,Hyundai
2277,Corolla Altis ,1095000,new delhi,Petrol,Automatic,65000,2016,Toyota
2278,WR-V ,825000,new delhi,Petrol,Manual,15000,2019,Honda
2279,Accent ,130000,new delhi,Petrol,Manual,100000,2012,Hyundai
2280,Duster ,475000,new delhi,Petrol,Manual,475000,2014,Renault
2281,Brio ,325000,new delhi,Petrol,Manual,45000,2014,Honda
2282,Wagon R ,390000,new delhi,Petrol,Manual,36000,2018,Maruti
2283,Wagon R ,459999,new delhi,CNG,Manual,42000,2018,Maruti
2284,C-Class ,3450000,new delhi,Diesel,Automatic,27000,2019,Mercedes-Benz
2285,Swift ,375000,new delhi,Petrol,Manual,40000,2014,Maruti
2286,Grand i10 ,610000,new delhi,Petrol,Manual,28000,2019,Hyundai
2287,Swift Dzire ,650000,new delhi,Petrol,Manual,60000,2019,Maruti
2288,Eeco ,450000,new delhi,Petrol,Manual,42000,2018,Maruti
2289,Eeco ,475000,new delhi,CNG,Manual,48000,2019,Maruti
2290,Wagon R ,235000,new delhi,Petrol,Manual,65000,2014,Maruti
2291,City ,1100000,new delhi,Petrol,Automatic,42000,2018,Honda
2292,Alto 800 ,210000,new delhi,Petrol,Manual,31856,2013,Maruti
2293,City ,325000,new delhi,Petrol,Manual,55000,2011,Honda
2294,Thar ,1450000,new delhi,Diesel,Manual,24000,2020,Mahindra
2295,XC60 ,6100000,new delhi,Diesel,Automatic,26000,2020,Volvo
2297,Compass ,1375000,new delhi,Petrol,Automatic,40000,2018,Jeep
2298,Endeavour ,1789999,new delhi,Diesel,Automatic,63000,2016,Ford
2299,Amaze ,690000,new delhi,Petrol,Manual,6000,2019,Honda
2300,Santro Xing ,110000,new delhi,Petrol,Manual,80000,2008,Hyundai
2301,Verna ,720000,new delhi,Petrol,Automatic,42000,2017,Hyundai
2302,Elantra ,850000,new delhi,Petrol,Manual,58000,2016,Hyundai
2303,Amaze ,695000,new delhi,Petrol,Manual,26000,2020,Honda
2304,Ertiga ,1100000,new delhi,CNG,Manual,49000,2020,Maruti
2305,Compass ,1934000,new delhi,Diesel,Manual,14000,2021,Jeep
2306,Innova Crysta ,1632000,new delhi,Diesel,Manual,42000,2017,Toyota
2307,Harrier ,2287000,new delhi,Diesel,Automatic,22000,2021,Tata
2308,City ,761000,new delhi,Petrol,Manual,30000,2017,Honda
2309,Glanza ,841000,new delhi,Petrol,Manual,10000,2021,Toyota
2310,Wagon R ,657000,new delhi,CNG,Manual,15600,2021,Maruti
2311,Thar ,1641000,new delhi,Diesel,Manual,21000,2021,Mahindra
2312,Superb ,2870000,new delhi,Petrol,Automatic,12000,2019,Skoda
2313,Glanza ,836000,new delhi,Petrol,Manual,8000,2020,Toyota
2314,Hector ,1509000,new delhi,Petrol,Automatic,30000,2020,MG
2315,Hector ,1759000,new delhi,Petrol,Automatic,27000,2020,MG
2316,Alcazar ,2019000,new delhi,Petrol,Manual,500,2022,Hyundai
2317,Ecosport ,725000,new delhi,Petrol,Automatic,44000,2017,Ford
2318,Wagon R ,325000,new delhi,CNG,Manual,95000,2014,Maruti
2319,City ,235000,new delhi,Petrol,Manual,77000,2009,Honda
2320,Jazz ,400000,new delhi,Petrol,Manual,60000,2017,Honda
2321,Vento ,625000,new delhi,Petrol,Manual,74826,2017,Volkswagen
2322,Baleno ,495000,new delhi,Petrol,Manual,75000,2016,Maruti
2323,Sonet ,1185000,new delhi,Diesel,Manual,12000,2020,Kia
2324,XUV500 ,750000,new delhi,Diesel,Manual,13000,2014,Mahindra
2325,i20 ,516000,new delhi,Petrol,Manual,69000,2015,Hyundai
2326,Baleno ,575000,new delhi,Petrol,Manual,58000,2018,Maruti
2327,Swift Dzire ,150000,new delhi,Petrol,Manual,69606,2009,Maruti
2328,Grand i10 ,386000,new delhi,Petrol,Manual,64000,2014,Hyundai
2329,Wagon R ,240000,new delhi,Petrol,Manual,58000,2012,Maruti
2330,i20 ,265000,new delhi,Diesel,Manual,122536,2013,Hyundai
2331,KWID ,235000,new delhi,Petrol,Manual,100000,2017,Renault
2332,Baleno ,570000,new delhi,Petrol,Manual,52000,2016,Maruti
2333,Wagon R ,300000,new delhi,Petrol,Manual,58000,2014,Maruti
2334,Creta ,1689999,new delhi,Petrol,Automatic,9000,2021,Hyundai
2335,Swift ,215000,new delhi,Petrol,Manual,80000,2010,Maruti
2336,XUV500 ,650000,new delhi,Diesel,Manual,100000,2016,Mahindra
2337,SX4 ,135000,new delhi,Petrol,Manual,65000,2008,Maruti
2338,C-Class ,3950000,new delhi,Petrol,Automatic,35000,2019,Mercedes-Benz
2339,Bolt ,347000,new delhi,Diesel,Manual,120000,2017,Tata
2340,M-Class ,2390000,new delhi,Diesel,Automatic,64000,2015,Mercedes-Benz
2341,Creta ,1325000,new delhi,Diesel,Manual,50000,2020,Hyundai
2342,Ecosport ,550000,new delhi,Petrol,Manual,40000,2016,Ford
2343,A6 ,1225000,new delhi,Diesel,Automatic,74000,2013,Audi
2344,Ertiga ,850000,new delhi,Diesel,Manual,60000,2016,Maruti
2345,S90 ,5200000,new delhi,Petrol,Automatic,32000,2021,Volvo
2346,Corolla Altis ,259000,new delhi,Petrol,Manual,62400,2008,Toyota
2347,Creta ,1375000,new delhi,Petrol,Automatic,25000,2019,Hyundai
2348,Terrano ,425000,new delhi,Diesel,Manual,70000,2014,Nissan
2349,Verna ,405000,new delhi,Petrol,Manual,76000,2012,Hyundai
2350,Wagon R ,180000,new delhi,Petrol,Manual,55000,2010,Maruti
2351,Ecosport ,444000,new delhi,Petrol,Manual,72000,2013,Ford
2352,C-Class ,445000,new delhi,Petrol,Automatic,69000,2009,Mercedes-Benz
2353,6 Series ,2450000,new delhi,Diesel,Automatic,93000,2014,BMW
2354,Seltos ,1575000,new delhi,Diesel,Manual,28000,2019,Kia
2355,XUV500 ,1175000,new delhi,Diesel,Manual,44002,2019,Mahindra
2356,City ,350000,new delhi,Petrol,Manual,20000,2010,Honda
2357,Jazz ,550000,new delhi,Petrol,Manual,62000,2016,Honda
2358,Seltos ,1275000,new delhi,Diesel,Manual,27006,2020,Kia
2359,Alto 800 ,300000,new delhi,Petrol,Manual,40000,2017,Maruti
2360,Alto 800 ,225000,new delhi,CNG,Manual,59654,2013,Maruti
2361,Vitara Brezza ,705000,new delhi,Diesel,Manual,76720,2017,Maruti
2363,Corolla Altis ,680000,new delhi,Petrol,Manual,70000,2014,Toyota
2364,Innova Crysta ,1775000,new delhi,Diesel,Automatic,59000,2016,Toyota
2365,Seltos ,1425000,new delhi,Diesel,Automatic,45000,2020,Kia
2366,Civic ,2045000,new delhi,Petrol,Automatic,22000,2020,Honda
2367,Seltos ,1270000,new delhi,Petrol,Manual,2623,2021,Kia
2368,WR-V ,675000,new delhi,Petrol,Manual,60000,2018,Honda
2369,Creta ,790000,new delhi,Diesel,Automatic,84000,2015,Hyundai
2370,Creta ,1375000,new delhi,Diesel,Automatic,51000,2018,Hyundai
2371,Harrier ,1495000,new delhi,Diesel,Manual,28694,2019,Tata
2372,E-Class ,4790000,new delhi,Petrol,Automatic,55000,2018,Mercedes-Benz
2373,Creta ,1390000,new delhi,Petrol,Automatic,42000,2019,Hyundai
2374,M-Class ,2390000,new delhi,Diesel,Automatic,62000,2015,Mercedes-Benz
2375,Creta ,1090000,new delhi,Petrol,Manual,74000,2019,Hyundai
2376,City ,225000,new delhi,Petrol,Manual,70250,2009,Honda
2377,C-Class ,2250000,new delhi,Diesel,Automatic,62000,2015,Mercedes-Benz
2378,i10 ,450000,new delhi,Petrol,Manual,59000,2016,Hyundai
2379,i20 ,1025000,new delhi,Petrol,Automatic,20000,2021,Hyundai
2380,City ,1090000,new delhi,Petrol,Automatic,32000,2019,Honda
2381,Endeavour ,3650000,new delhi,Diesel,Automatic,49000,2019,Ford
2382,Creta ,825000,new delhi,Diesel,Manual,41265,2018,Hyundai
2383,GLC ,4250000,new delhi,Diesel,Automatic,42000,2018,Mercedes-Benz
2384,Hector Plus ,1689999,new delhi,Petrol,Automatic,42000,2020,MG
2385,X5 ,10100000,new delhi,Petrol,Automatic,2300,2022,BMW
2386,WR-V ,675000,new delhi,Petrol,Manual,23000,2017,Honda
2387,Creta ,925000,new delhi,Petrol,Manual,56500,2017,Hyundai
2388,Vento ,290000,new delhi,Petrol,Manual,85131,2012,Volkswagen
2389,Range Rover Evoque ,3750000,new delhi,Diesel,Automatic,53000,2017,Land Rover
2390,F-Pace ,6700000,new delhi,Petrol,Automatic,9000,2021,Jaguar
2391,i10 ,125000,new delhi,Petrol,Manual,65000,2008,Hyundai
2392,XUV500 ,621000,new delhi,Diesel,Manual,72072,2015,Mahindra
2393,Ertiga ,650000,new delhi,CNG,Manual,77000,2014,Maruti
2394,Superb ,475000,new delhi,Petrol,Manual,62000,2012,Skoda
2395,i20 ,600000,new delhi,Diesel,Manual,80000,2018,Hyundai
2396,Baleno ,520000,new delhi,Diesel,Manual,30000,2017,Maruti
2397,Alturas G4 ,2750000,new delhi,Diesel,Automatic,13000,2019,Mahindra
2398,City ,1500000,new delhi,Petrol,Automatic,6000,2022,Honda
2399,WR-V ,675000,new delhi,Petrol,Manual,23000,2017,Honda
2400,GL-Class ,3100000,new delhi,Diesel,Automatic,60000,2014,Mercedes-Benz
2401,Ritz ,325000,new delhi,Petrol,Manual,53000,2014,Maruti
2403,Duster ,310000,new delhi,Diesel,Manual,65000,2013,Renault
2404,Brio ,385000,new delhi,Petrol,Manual,34000,2014,Honda
2405,i20 ,590000,new delhi,Petrol,Manual,15000,2019,Hyundai
2406,Celerio ,449000,new delhi,CNG,Manual,52000,2017,Maruti
2407,Grand i10 ,550000,new delhi,Petrol,Manual,11000,2018,Hyundai
2408,Grand i10 ,385000,new delhi,CNG,Manual,61200,2015,Hyundai
2409,Celerio ,475000,new delhi,Petrol,Manual,20495,2018,Maruti
2410,Grand i10 ,459999,new delhi,Petrol,Manual,50250,2018,Hyundai
2411,Compass ,1700000,new delhi,Petrol,Automatic,43006,2019,Jeep
2412,5 Series ,4000000,new delhi,Diesel,Automatic,23001,2018,BMW
2413,Verna ,1049000,new delhi,Petrol,Manual,25000,2019,Hyundai
2414,A3 ,1625000,new delhi,Diesel,Automatic,37002,2015,Audi
2415,Thar ,1645000,new delhi,Diesel,Manual,10000,2021,Mahindra
2416,Wagon R ,550000,new delhi,CNG,Manual,50000,2019,Maruti
2417,i10 ,375000,new delhi,Petrol,Manual,32000,2015,Hyundai
2418,Fortuner ,1350000,new delhi,Diesel,Manual,125000,2013,Toyota
2419,Alto 800 ,180000,new delhi,Petrol,Manual,30000,2013,Maruti
2420,Astor ,1525000,new delhi,Petrol,Manual,5000,2021,MG
2421,X3 ,4499000,new delhi,Diesel,Automatic,16000,2018,BMW
2422,Wagon R ,165000,new delhi,LPG,Manual,120000,2010,Maruti
2423,X6 ,10900000,new delhi,Petrol,Automatic,18000,2021,BMW
2424,Figo ,400000,new delhi,Petrol,Manual,55000,2017,Ford
2425,X1 ,4600000,new delhi,Petrol,Automatic,700,2021,BMW
2426,Cayenne Coupe ,16700000,new delhi,Petrol,Automatic,6000,2021,Porsche
2427,i20 ,725000,new delhi,Petrol,Manual,24000,2020,Hyundai
2428,Verna ,894999,new delhi,Diesel,Manual,68294,2019,Hyundai
2429,E-Class ,6300000,new delhi,Diesel,Automatic,30000,2020,Mercedes-Benz
2430,Hector ,1875000,new delhi,Petrol,Automatic,15000,2021,MG
2431,Q2 ,3450000,new delhi,Petrol,Automatic,4600,2022,Audi
2432,X1 ,3500000,new delhi,Petrol,Automatic,12000,2020,BMW
2433,Beat ,240000,new delhi,Diesel,Manual,40000,2014,Chevrolet
2434,GLC ,6500000,new delhi,Diesel,Automatic,7000,2022,Mercedes-Benz
2435,Carnival ,2900000,new delhi,Diesel,Automatic,9000,2021,Kia
2436,Swift Dzire ,120000,new delhi,Diesel,Manual,110000,2009,Maruti
2437,5 Series ,990000,new delhi,Petrol,Automatic,67000,2010,BMW
2438,Estilo ,95000,new delhi,Petrol,Manual,84000,2009,Maruti
2439,Superb ,375000,new delhi,Petrol,Manual,58000,2012,Skoda
2440,City ,210000,new delhi,Petrol,Manual,71000,2009,Honda
2441,Indigo ,159000,new delhi,Diesel,Manual,120000,2012,Tata
2442,i10 ,265000,new delhi,Petrol,Manual,60000,2012,Hyundai
2443,E-Class ,1375000,new delhi,Diesel,Automatic,57000,2014,Mercedes-Benz
2444,City ,245000,new delhi,Petrol,Manual,109722,2010,Honda
2445,XUV500 ,750000,new delhi,Diesel,Manual,53000,2015,Mahindra
2446,GLA Class ,1625000,new delhi,Diesel,Automatic,49000,2014,Mercedes-Benz
2447,i10 ,245000,new delhi,Petrol,Manual,54000,2013,Hyundai
2448,Swift ,449000,new delhi,Diesel,Manual,61000,2015,Maruti
2449,City ,775000,new delhi,Petrol,Automatic,65000,2016,Honda
2450,i10 ,385000,new delhi,Petrol,Manual,71000,2015,Hyundai
2451,WR-V ,800000,new delhi,Petrol,Manual,49000,2019,Honda
2452,i20 ,365000,new delhi,Petrol,Manual,58000,2013,Hyundai
2453,i20 ,249000,new delhi,Petrol,Manual,71000,2011,Hyundai
2454,Alto 800 ,305000,new delhi,Petrol,Manual,25039,2019,Maruti
2455,Triber ,566000,new delhi,Petrol,Manual,48421,2021,Renault
2456,Q7 ,950000,new delhi,Diesel,Automatic,110000,2011,Audi
2457,i20 ,585000,new delhi,Petrol,Manual,52000,2018,Hyundai
2458,Boxster ,7000000,new delhi,Petrol,Automatic,28000,2016,Porsche
2459,Baleno ,725000,new delhi,Petrol,Manual,5700,2021,Maruti
2460,Verna ,975000,new delhi,Petrol,Automatic,95000,2018,Hyundai
2461,Glanza ,875000,new delhi,Petrol,Automatic,33000,2020,Toyota
2462,Vitara Brezza ,960000,new delhi,Petrol,Manual,10000,2021,Maruti
2463,Corolla Altis ,1550000,new delhi,Petrol,Automatic,31000,2017,Toyota
2464,Thar ,550000,new delhi,Diesel,Manual,30000,2014,Mahindra
2465,Accord ,385000,new delhi,Petrol,Manual,58000,2010,Honda
2466,Alto K10 ,120000,new delhi,Petrol,Manual,100000,2011,Maruti
2467,Ciaz ,503000,new delhi,Diesel,Manual,60219,2016,Maruti
2468,S60 ,1395000,new delhi,Diesel,Automatic,125000,2015,Volvo
2469,Alto ,135000,new delhi,Petrol,Manual,67000,2011,Maruti
2470,i10 ,211000,new delhi,Petrol,Manual,65000,2011,Hyundai
2471,Creta ,1175000,new delhi,Diesel,Automatic,69000,2018,Hyundai
2472,C-Class ,3490000,new delhi,Petrol,Automatic,19000,2017,Mercedes-Benz
2473,Celerio ,525000,new delhi,Petrol,Manual,4000,2018,Maruti
2474,Sonet ,1295000,new delhi,Petrol,Automatic,15000,2020,Kia
2476,Scala ,225000,new delhi,Diesel,Manual,80000,2013,Renault
2477,Cayenne ,2400000,new delhi,Diesel,Automatic,76000,2014,Porsche
2478,Tucson ,1800000,new delhi,Petrol,Automatic,37000,2018,Hyundai
2479,City ,980000,new delhi,Petrol,Manual,5500,2020,Honda
2480,Pajero ,1650000,new delhi,Diesel,Automatic,54000,2017,Mitsubishi
2481,Alcazar ,2050000,new delhi,Diesel,Automatic,24000,2021,Hyundai
2482,Xcent ,450000,new delhi,Petrol,Manual,44000,2015,Hyundai
2483,Celerio ,520000,new delhi,CNG,Manual,49250,2018,Maruti
2484,i20 ,465000,new delhi,Petrol,Manual,47000,2014,Hyundai
2485,Lodgy ,750000,new delhi,Diesel,Manual,70000,2018,Renault
2486,Fortuner ,3175000,new delhi,Diesel,Automatic,39000,2018,Toyota
2487,A6 ,3699000,new delhi,Diesel,Automatic,38000,2019,Audi
2488,Verna ,470000,new delhi,Petrol,Manual,58000,2013,Hyundai
2489,D-Max ,1400000,new delhi,Diesel,Manual,25000,2016,Isuzu
2490,5 Series ,4450000,new delhi,Diesel,Automatic,31000,2019,BMW
2491,Verna ,660000,new delhi,Diesel,Manual,55000,2015,Hyundai
2492,Alto K10 ,320000,new delhi,CNG,Manual,69000,2016,Maruti
2493,Q5 ,1090000,new delhi,Diesel,Automatic,67000,2013,Audi
2494,i20 ,265000,new delhi,Petrol,Manual,49500,2011,Hyundai
2495,Vitara Brezza ,775000,new delhi,Diesel,Manual,53000,2017,Maruti
2496,Duster ,650000,new delhi,Diesel,Manual,70000,2015,Renault
2497,Altroz ,800000,new delhi,Petrol,Manual,3200,2022,Tata
2498,Pulse ,175000,new delhi,Diesel,Manual,95000,2013,Renault
2499,Elantra ,1240000,new delhi,Petrol,Automatic,60000,2017,Hyundai
2500,Hector ,1800000,new delhi,Diesel,Manual,22000,2020,MG
2501,Scorpio ,700000,new delhi,Diesel,Manual,90000,2015,Mahindra
2502,Fortuner ,3350000,new delhi,Diesel,Automatic,21000,2018,Toyota
2503,Superb ,2950000,new delhi,Petrol,Automatic,11000,2019,Skoda
2504,Innova Crysta ,1850000,new delhi,Diesel,Automatic,80000,2017,Toyota
2505,XUV700 ,1800000,new delhi,Petrol,Manual,4276,2021,Mahindra
2506,Alto K10 ,166000,new delhi,Petrol,Manual,44128,2013,Maruti
2507,Swift ,374000,new delhi,Diesel,Manual,45807,2014,Maruti
2508,Verna ,975000,new delhi,Diesel,Manual,48000,2019,Hyundai
2509,i10 ,300000,new delhi,Petrol,Manual,20000,2014,Hyundai
2510,Creta ,950000,new delhi,Petrol,Manual,50000,2017,Hyundai
2511,Grand i10 ,450000,new delhi,Petrol,Manual,50000,2017,Hyundai
2512,Swift Dzire ,550000,new delhi,Petrol,Automatic,50000,2017,Maruti
2513,Celerio ,370000,new delhi,Petrol,Manual,50000,2016,Maruti
2514,Creta ,1145000,new delhi,Petrol,Manual,25000,2019,Hyundai
2515,i20 ,390000,new delhi,Petrol,Manual,43000,2014,Hyundai
2516,Swift ,415000,new delhi,Petrol,Manual,33000,2017,Maruti
2517,Ciaz ,775000,new delhi,Diesel,Manual,45000,2017,Maruti
2518,Creta ,1375000,new delhi,Petrol,Automatic,26000,2019,Hyundai
2519,Compass ,1475000,new delhi,Petrol,Automatic,30000,2018,Jeep
2520,Wagon R ,440000,new delhi,CNG,Manual,65000,2017,Maruti
2521,Wagon R ,245000,new delhi,Petrol,Manual,69000,2012,Maruti
2522,Wagon R ,300000,new delhi,CNG,Manual,58000,2013,Maruti
2523,Discovery Sport ,6800000,new delhi,Diesel,Automatic,36000,2020,Land Rover
2524,Wagon R ,320000,new delhi,CNG,Manual,62388,2014,Maruti
2525,Ertiga ,585000,new delhi,Petrol,Manual,68000,2014,Maruti
2526,Ertiga ,585000,new delhi,Petrol,Manual,68000,2014,Maruti
2527,City ,375000,new delhi,Petrol,Automatic,80000,2011,Honda
2528,Wagon R ,365000,new delhi,Petrol,Automatic,52000,2015,Maruti
2529,Ignis ,520000,new delhi,Petrol,Manual,35200,2017,Maruti
2530,800,130000,new delhi,Petrol,Manual,68000,2009,Maruti
2531,Baleno ,600000,new delhi,Petrol,Automatic,49000,2017,Maruti
2532,E-Class ,1150000,new delhi,Diesel,Automatic,70000,2013,Mercedes-Benz
2533,Innova Crysta ,1789999,new delhi,Petrol,Manual,40000,2018,Toyota
2534,Seltos ,1445000,new delhi,Diesel,Manual,30000,2021,Kia
2535,GLA Class ,2700000,new delhi,Petrol,Automatic,17000,2017,Mercedes-Benz
2536,Taigun ,2000000,new delhi,Petrol,Automatic,7000,2022,Volkswagen
2537,Compass ,1575000,new delhi,Petrol,Automatic,28000,2018,Jeep
2538,Amaze ,695000,new delhi,Diesel,Manual,35000,2018,Honda
2539,Thar ,1895000,new delhi,Diesel,Automatic,9000,2021,Mahindra
2540,Hector Plus ,2095000,new delhi,Petrol,Automatic,7600,2021,MG
2541,6 Series ,5600000,new delhi,Diesel,Automatic,30000,2019,BMW
2542,Celerio ,495000,new delhi,CNG,Manual,41000,2019,Maruti
2543,Wagon R ,515000,new delhi,CNG,Manual,53000,2019,Maruti
2544,XUV500 ,425000,new delhi,Diesel,Manual,70000,2013,Mahindra
2545,City ,265000,new delhi,Petrol,Manual,76000,2010,Honda
2546,Nexon ,775000,new delhi,Diesel,Automatic,48177,2018,Tata
2547,Fortuner ,4100000,new delhi,Diesel,Automatic,33000,2020,Toyota
2548,i20 ,681000,new delhi,Petrol,Manual,10000,2018,Hyundai
2549,Harrier ,1375000,new delhi,Diesel,Manual,54000,2019,Tata
2550,Seltos ,1125000,new delhi,Petrol,Manual,23000,2019,Kia
2551,i10 ,290000,new delhi,Petrol,Manual,57000,2013,Hyundai
2552,Cruze ,265000,new delhi,Diesel,Manual,120000,2012,Chevrolet
2553,XUV500 ,865000,new delhi,Diesel,Manual,95037,2015,Mahindra
2554,Fortuner ,2800000,new delhi,Diesel,Manual,40000,2017,Toyota
2555,Innova ,775000,new delhi,Diesel,Manual,138000,2014,Toyota
2556,E-Class ,5800000,new delhi,Diesel,Automatic,25000,2019,Mercedes-Benz
2557,i20 ,195000,new delhi,Petrol,Automatic,80000,2010,Hyundai
2558,5 Series ,1550000,new delhi,Diesel,Automatic,65000,2014,BMW
2559,Wagon R ,459999,new delhi,Petrol,Manual,47000,2018,Maruti
2560,City ,915000,new delhi,Petrol,Automatic,82000,2017,Honda
2561,City ,1185000,new delhi,Petrol,Manual,2500,2022,Honda
2562,Amaze ,434999,new delhi,Petrol,Manual,70000,2016,Honda
2563,A3 ,1550000,new delhi,Diesel,Automatic,14000,2015,Audi
2564,Hector ,1950000,new delhi,Diesel,Manual,19000,2021,MG
2565,Civic ,350000,new delhi,Petrol,Manual,60000,2010,Honda
2566,City ,690000,new delhi,Petrol,Manual,39000,2015,Honda
2567,Corolla Altis ,295000,new delhi,Petrol,Manual,130000,2010,Toyota
2568,Jazz ,620000,new delhi,Petrol,Automatic,62000,2016,Honda
2569,Innova Crysta ,2250000,new delhi,Diesel,Manual,10000,2021,Toyota
2570,SX4 ,290000,new delhi,Diesel,Manual,68000,2014,Maruti
2571,Polo ,321000,new delhi,Petrol,Manual,56000,2013,Volkswagen
2572,Swift Dzire ,270000,new delhi,Diesel,Manual,80000,2012,Maruti
2573,Scorpio ,1450000,new delhi,Diesel,Manual,14000,2021,Mahindra
2574,Amaze ,320000,new delhi,Petrol,Manual,68000,2014,Honda
