,Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
8915,i10 ,275000,mumbai,Petrol,Manual,37356,2012,Hyundai
8916,A4 ,1250000,mumbai,Diesel,Automatic,50000,2012,Audi
8917,A6 ,1525000,mumbai,Diesel,Automatic,56700,2014,Audi
8918,Scorpio ,925000,mumbai,Diesel,Automatic,79000,2015,Mahindra
8919,City ,985000,mumbai,Petrol,Automatic,31441,2017,Honda
8920,Q5 ,1100000,mumbai,Diesel,Automatic,68000,2012,Audi
8921,Swift ,525000,mumbai,Petrol,Manual,47300,2015,Maruti
8922,Civic ,375000,mumbai,Petrol,Manual,60000,2010,Honda
8923,Fortuner ,3075000,mumbai,Diesel,Automatic,68200,2017,Toyota
8924,Seltos ,1750000,mumbai,Petrol,Automatic,20000,2021,Kia
8925,A6 ,1449000,mumbai,Diesel,Automatic,63900,2013,Audi
8926,A4 ,1200000,mumbai,Diesel,Automatic,60000,2013,Audi
8927,M-Class ,3000000,mumbai,Diesel,Automatic,63000,2015,Mercedes-Benz
8928,GLE ,5500000,mumbai,Diesel,Automatic,33000,2019,Mercedes-Benz
8929,Harrier ,1750000,mumbai,Diesel,Manual,23200,2020,Tata
8930,Ecosport ,495000,mumbai,Petrol,Manual,27948,2015,Ford
8931,CR-V ,375000,mumbai,Petrol,Automatic,46000,2008,Honda
8932,A6 ,1525000,mumbai,Diesel,Automatic,56700,2014,Audi
8933,Brio ,365000,mumbai,Petrol,Manual,53000,2013,Honda
8934,Harrier ,1750000,mumbai,Diesel,Manual,23200,2020,Tata
8935,KWID ,350000,mumbai,Petrol,Manual,13100,2017,Renault
8936,5 Series ,2500000,mumbai,Diesel,Automatic,47400,2016,BMW
8937,C-Class ,1085000,mumbai,Diesel,Automatic,75000,2013,Mercedes-Benz
8938,Verna ,555000,mumbai,Petrol,Manual,42000,2014,Hyundai
8939,E-Class ,6500000,mumbai,Petrol,Automatic,15800,2020,Mercedes-Benz
8940,Vitara Brezza ,875000,mumbai,Diesel,Manual,29600,2018,Maruti
8941,A6 ,1449000,mumbai,Diesel,Automatic,63900,2013,Audi
8942,A4 ,1200000,mumbai,Diesel,Automatic,60000,2013,Audi
8943,Endeavour ,3375000,mumbai,Diesel,Automatic,58200,2018,Ford
8944,Platinum Etios ,700000,mumbai,Petrol,Manual,25600,2018,Toyota
8945,Rapid ,725000,mumbai,Petrol,Manual,17700,2017,Skoda
8946,Verna ,645000,mumbai,Petrol,Automatic,58200,2015,Hyundai
8948,Ertiga ,611000,mumbai,Petrol,Manual,32861,2016,Maruti
8949,Figo ,169000,mumbai,Petrol,Manual,43342,2010,Ford
8950,Superb ,1297000,mumbai,Diesel,Automatic,186390,2016,Skoda
8951,E-Class ,890000,mumbai,Petrol,Manual,50000,2011,Mercedes-Benz
8952,Endeavour ,2590000,mumbai,Diesel,Automatic,42000,2017,Ford
8953,Amaze ,685000,mumbai,Petrol,Manual,18000,2020,Honda
8954,A6 ,1044999,mumbai,Diesel,Automatic,82000,2012,Audi
8955,Polo ,345000,mumbai,Petrol,Manual,60000,2013,Volkswagen
8956,5 Series ,1195000,mumbai,Diesel,Automatic,86000,2011,BMW
8957,E-Class ,975000,mumbai,Petrol,Automatic,86000,2010,Mercedes-Benz
8958,Safari Storme ,475000,mumbai,Diesel,Manual,125000,2013,Tata
8959,Etios ,275000,mumbai,Petrol,Manual,65000,2011,Toyota
8960,Ertiga ,875000,mumbai,CNG,Manual,43000,2018,Maruti
8961,Ertiga ,1044999,mumbai,Petrol,Automatic,13000,2019,Maruti
8962,Wagon R ,425000,mumbai,CNG,Manual,55409,2015,Maruti
8963,Xcent ,550000,mumbai,Petrol,Automatic,20000,2017,Hyundai
